Asset_A;Asset_B;P-Value
CNC;V;0.00077408479247854
AEE;CTAS;0.0007746451199675996
LYV;PLD;0.0007759631820520621
INVH;TPL;0.0007795991448315829
T;ZBRA;0.0007806250919321183
INVH;LHX;0.0007840223318404346
DVN;VTR;0.0007857605089507513
MSFT;NVR;0.0007858701172365137
C;EMN;0.0008082135010619598
PSX;TXT;0.0008271178729428656
CCI;HON;0.0008274801546517182
DTE;PAYC;0.0008307682289440002
MSCI;NOC;0.0008311187077255389
MDT;TPR;0.000886335639011147
KKR;L;0.0008928220766126959
C;NFLX;0.0008951150090947149
DECK;MAS;0.0008956549832127053
GPN;NVDA;0.0009056462250052984
EPAM;LW;0.0009063156336939986
DLR;MOS;0.00090682842184434
ADM;MGM;0.0009097943770088791
CCI;GBPUSD=X;0.0009131382262735758
HUM;XEL;0.0009198993898144705
ANET;MHK;0.0009227591262774521
CMS;ROL;0.000925707215695189
KKR;VLO;0.0009503038180549786
MNST;V;0.0009670069763711225
GPN;TECH;0.0009693330165555859
CMS;RVTY;0.0009716266209590744
CMS;LVS;0.0009731815212920795
AMZN;WMT;0.0009837674047190616
CTSH;GPN;0.0009903101317303552
CI;PYPL;0.0009979720645071986
CBOE;EMN;0.0010146868281323334
KO;ZBRA;0.0010147635779758559
AES;LYB;0.0010153038291188894
AEP;GBPUSD=X;0.0010177738296282264
EXR;HD;0.0010214065655628926
MHK;MNST;0.0010345368174695484
FICO;MPC;0.0010403818329134285
AMZN;JKHY;0.001041077568491611
NEE;PAYC;0.0010412514612759432
ADP;TROW;0.0010419480671836079
CTSH;WTW;0.0010471347464354442
ARE;PGR;0.0010497365620562589
HUM;PAYC;0.00106698468924117
EXR;NVR;0.0010685677587471106
HUM;UDR;0.0010734657787332346
HST;MTCH;0.0010776275092447736
AVY;EMN;0.001081182180203681
KMI;WAT;0.0010816811372882534
CI;TECH;0.00108661053592702
ELV;EXR;0.0010889926455123885
KO;TYL;0.0010897438528820569
AFL;UNH;0.0010909566633404573
NOW;TECH;0.0011028729979014524
ARE;ELV;0.0011056315576465216
DECK;ZTS;0.0011065790163260307
HST;PEG;0.0011073382977277834
APTV;CNC;0.0011128950408641524
HST;LEN;0.0011152867809763004
CZR;IR;0.0011260485729207082
ARE;GDDY;0.0011371295512302788
C;MCO;0.0011382772049443426
CVS;DHR;0.0011398752273708043
BKR;IQV;0.001145101721825368
NCLH;ORCL;0.0011508184449801405
NXPI;TRMB;0.0011536031582709567
BAC;EXR;0.0011595491602980708
CSX;ECL;0.001161388867337548
L;TEL;0.001163969924196762
EXR;L;0.0011639985672292589
EXR;WMT;0.0011640252728053872
GPN;PLD;0.0011763649972045265
MU;SWK;0.0011789591844123212
AVB;SPG;0.0011808977765689337
GOOG;MAS;0.0011824855489576099
INVH;TDY;0.001185454686795634
AMZN;EPAM;0.001202924476447068
ADP;CTAS;0.0012069578758695566
BKR;NEE;0.001209970142288755
IRM;ULTA;0.0012170380078597655
INVH;LYB;0.001233443430299969
AVGO;KMI;0.0012470200412395785
DD;TFX;0.0012575111235734752
APTV;LYV;0.0012664371284478633
EXR;MMM;0.0012674307370093957
ECL;TYL;0.0012755279272301686
META;NEE;0.0012897875463975094
EPAM;SWK;0.0012908284682084203
META;STZ;0.001293928029563912
ARE;FICO;0.0012944051906414802
ALL;MNST;0.0012986552957347838
EMN;NVR;0.001301998473726924
CNC;TECH;0.001302881805298643
HUM;RVTY;0.00130639063723335
HST;SHW;0.0013092531869893511
HAS;INVH;0.0013100264832374643
INVH;SNPS;0.0013124387452273284
GL;HST;0.0013338770968319574
CPRT;EXR;0.0013370124085410485
CRM;WEC;0.0013489367123981977
A;LYV;0.001352044733071237
BDX;BKR;0.0013578720053290577
CNC;CPT;0.0013610903994995763
CSGP;HUM;0.0013687146842712257
DD;LHX;0.001369144497024785
CI;NOC;0.0013802573794969776
EA;MOS;0.0013806657260672626
ADSK;DLR;0.0013890674053639337
JBL;SPG;0.001396885823267246
EL;GDDY;0.001409055451902084
CSX;ETN;0.001420047415226905
PLD;STE;0.0014206777553519147
INCY;MTCH;0.0014211417030403366
AMZN;ARE;0.0014281636458369656
MLM;UAL;0.0014300590459777665
LNT;NFLX;0.0014329585471031761
ABT;DD;0.001435580050849784
FRT;WELL;0.0014374823861828087
DTE;HUM;0.001454222366361237
ARE;FSLR;0.001468139929139641
AFL;MNST;0.0014758114122167616
L;WMT;0.0014976323365292674
ADP;AXP;0.001498298619545821
CVS;HST;0.0015009234658056312
EXR;IR;0.0015059925738772162
EXR;GL;0.0015171287257682176
FRT;VTR;0.0015333707173228878
AXP;TROW;0.001537936222057012
A;APTV;0.0015406934093381
CSX;DXCM;0.0015536432926769041
AME;GDDY;0.0015705676566675454
ECL;UDR;0.0015768815845730044
BKR;MNST;0.0015800890231384803
ADP;BRK-B;0.0015917466810616275
AVGO;CMS;0.0015962948817780072
EPAM;ITW;0.001596551799794683
MSCI;SNPS;0.0015969056113370843
FTV;LRCX;0.0016010673607192453
KKR;ROK;0.0016012429567709512
CE;DD;0.0016054498455559836
CVX;TXT;0.001607893986698011
CSX;RTX;0.0016106476338219723
IRM;OMC;0.0016352669858744372
NEE;RCL;0.001638545134171698
ATO;HUM;0.001660438575505961
CSX;TYL;0.0016608970379690415
EPAM;SHW;0.0016660464757245184
AES;JPM;0.0016715821733035649
BAC;VLO;0.0016795369628526272
HST;MU;0.0016882059833328493
ADP;AMP;0.0016901049133051665
ES;MAS;0.001696780664526787
L;PHM;0.0016992350959587105
EMN;UNH;0.001708597536374074
CSX;MAS;0.0017105148648422228
INVH;MTCH;0.0017162600429332995
CSX;GBPUSD=X;0.001728641464552999
AVY;NVR;0.0017448574830080889
MCO;TTWO;0.0017481315923897197
MAR;MPC;0.0017488248057108001
AES;URI;0.001764510743619472
HUM;NEE;0.001764801448698019
AWK;EXR;0.0017720639695632276
AVY;CBOE;0.0017728032723640418
RCL;TRMB;0.0017745924651652197
EMN;TROW;0.0017836907552040455
CSX;MPC;0.0017896346728606528
ENPH;HSIC;0.0017973971483487604
EQIX;HUM;0.0017986105864591516
ARE;HON;0.001802543500446311
GDDY;UNH;0.0018053698886042729
AES;GL;0.0018074356032843429
A;PAYC;0.0018108328396044934
CSX;DECK;0.0018209844538570163
BDX;EXR;0.00183047628644664
TMO;TRMB;0.0018318709265252974
BDX;HST;0.0018341186996264573
CSX;KMI;0.001834669324910719
AES;HSIC;0.001836481607413612
CDW;DXCM;0.0018408852257016301
L;TROW;0.0018485634115510475
AES;MET;0.0018538467112890972
APO;STZ;0.0018688216892544548
IVZ;NVDA;0.0018714139284310891
GDDY;STZ;0.0018733618539857131
GDDY;NVR;0.0018820193327795654
CSX;TT;0.001889325329928369
L;PFG;0.0018940481591699298
L;ODFL;0.0019267210986371006
HCA;MO;0.001929401477709223
DTE;KO;0.0019314232701337537
CB;SYK;0.0019344173106168995
INVH;LDOS;0.0019402008854363072
CI;EMN;0.0019443022845888013
GDDY;INTU;0.001949509276640922
LDOS;TDY;0.0019505552627002568
ANET;MNST;0.001963512810964915
AXP;PODD;0.0019638715311097905
GPN;STE;0.001967933406574781
L;LEN;0.001974739122660549
CCI;MCD;0.00198612507321064
INVH;PSX;0.001987268913322914
ENPH;OXY;0.002006424338536442
AES;BAC;0.0020118866813456657
BRO;TXT;0.0020281099990505226
BR;GDDY;0.0020315047884374737
AES;TFC;0.002031775981609589
DXCM;MPWR;0.0020429110697140177
CSGP;TDG;0.0020450735658481566
CVS;PTC;0.0020471801463558914
SW;GBPUSD=X;0.002055790511501821
CI;STZ;0.0020712138893298248
AES;VRSK;0.002073041275639613
HUM;TMO;0.002083468256171615
HST;ON;0.0021032161066359503
INVH;KHC;0.0021034043562575336
APTV;RCL;0.002103820028990391
AVY;MPC;0.002105286797519271
ECL;KO;0.002105963354945847
AES;RL;0.002106556388006162
MCO;NOC;0.0021091917186470506
TTWO;XYL;0.002110196608830693
INVH;WM;0.002110345388943911
MHK;UNH;0.002115101939196557
STE;WDAY;0.0021170987496784755
INVH;TROW;0.002120101144501662
KKR;LKQ;0.0021217473221230828
INVH;LKQ;0.0021300064351037168
GOOGL;MAS;0.0021355406326516646
CRM;MPC;0.0021424536568556782
ECL;KMI;0.002143347468196521
NVR;V;0.0021442322349829145
CTSH;RCL;0.002154145010507962
OMC;WBD;0.002156827984194205
AES;FITB;0.002161254640182193
ADSK;WTW;0.0021725605408003585
ABT;NOC;0.0021753977448182456
INVH;V;0.002184595703588826
ADP;NRG;0.0021890828784254684
INVH;TTWO;0.002190805108557209
BKR;HIG;0.002191289837650963
LDOS;TFX;0.0021917383588832286
LMT;MCO;0.0021963294852301446
MTD;ROL;0.0021998628499508063
BKR;SYK;0.0022038562293520514
EPAM;HST;0.0022249211488208254
ISRG;TRMB;0.0022353378807640784
UDR;WDAY;0.0022426173278849177
AES;CPAY;0.0022543113858987983
EA;ESS;0.002258234148669209
BKR;MSI;0.002261314021293227
STZ;V;0.002262685330794342
INVH;OMC;0.0022628439328585288
AES;HST;0.0022662053111602003
NFLX;NOC;0.0022676997844712763
ABT;CE;0.0022835835343882954
ELV;JKHY;0.0022860835369699585
CME;NSC;0.002289588340379779
INVH;XYL;0.0022953295473337287
DHR;HST;0.0022978141770142323
MSCI;NVR;0.0023033175582780705
MHK;MSCI;0.002306739989425882
AES;L;0.002311962371127412
CMCSA;DGX;0.0023135805403788207
MSI;SYK;0.002320053431112223
HST;LW;0.0023419559658969455
MU;ROK;0.002345283011616808
AES;VLO;0.002347182588010187
DOV;TROW;0.0023536176687678446
ES;ETN;0.0023577125612564455
AES;DHR;0.002389349462459608
ANET;MSCI;0.0023930822128430448
NEE;SPGI;0.002393105667309058
XOM;BTC-USD;0.0023971788593213092
AME;CCI;0.0023987035573114976
EQIX;RCL;0.0023991343441674483
CNC;MNST;0.0024206678955324837
PAYC;TRMB;0.0024221603616488585
INCY;UNP;0.002428795854965126
BKR;CI;0.002433250799793819
ICE;TDG;0.002438509040516478
MNST;VRSN;0.0024387449205973567
C;VRSN;0.002442434115767752
MCHP;TMO;0.002457294451200574
AES;TSN;0.002464203550610567
CVS;GRMN;0.0024695221668177723
MNST;MSCI;0.0024716711005311922
CRM;MSFT;0.002475112391986544
AFL;V;0.0024810548009873657
AVGO;DUK;0.0024885230298292665
AES;RF;0.0024966421108921664
LEN;MPC;0.002513106581133846
V;XYL;0.002515615502414241
CPAY;FDS;0.002520307952789224
CVS;INTC;0.002523108079675292
DG;MTCH;0.0025257126791242757
A;NXPI;0.0025323355786820287
ALGN;FDX;0.002532716061886228
IP;TDG;0.0025434044627447366
ELV;FICO;0.0025439638105151743
ALL;GDDY;0.0025501838860149677
KKR;STZ;0.002550349702574354
CME;DG;0.0025538639517667487
NSC;VLO;0.002556138155734946
ADBE;GDDY;0.0025579302718955065
CSX;IP;0.0025607405719132123
CSX;HST;0.002561505362414038
ELV;MPC;0.002568466255134249
AXP;PSX;0.0025770188191135924
GPN;TRMB;0.0025779503084624447
KKR;TXT;0.002582527994665122
ABBV;EMN;0.002583222274097325
AAPL;SWK;0.0025874237730539092
FRT;GWW;0.0025953234272348556
CBOE;EXR;0.0025960159657996778
AES;CHRW;0.002600663054680419
CDW;IQV;0.0026067694115031446
APO;APTV;0.0026077453209831466
CF;CVX;0.0026141942013693915
CDW;KKR;0.0026151471384065904
CINF;AUDUSD=X;0.002622124975938464
EMN;XYL;0.002622872255587966
CSX;SI=F;0.0026236570415989497
KKR;PH;0.002626547920906911
MS;RJF;0.002631238113309242
CSX;IVZ;0.00263606086131563
DXCM;MET;0.0026614496028008867
SPGI;TECH;0.0026635618640351018
BKR;WEC;0.0026652982160579575
CAT;DOV;0.002665638664767479
AES;NKE;0.0026710643193049374
AES;DHI;0.0026826879358338813
CSX;WST;0.002695331002798617
INVH;JBHT;0.0026974285359071893
HON;MNST;0.002698574673322941
LNT;PAYC;0.0027014147361134524
CBRE;EXR;0.0027049546891169604
FTV;VRSN;0.0027069632142332515
CSX;MGM;0.002731889497407472
AES;PRU;0.0027355793000769344
AES;INTC;0.0027359305657628764
FSLR;LKQ;0.0027362898030617346
EXR;MPC;0.0027408648990512492
ARE;KKR;0.0027416187342779643
LW;WMT;0.0027426740187843335
AES;ENPH;0.002745101919873788
C;CE;0.0027505806994388535
MPC;WMT;0.00276318878185536
GRMN;HST;0.002763206822412925
DXCM;NFLX;0.002764349844298235
ARE;MAS;0.0027682723090908627
AMZN;ZTS;0.002768519373190374
EXR;GRMN;0.002769377550153989
AES;PCAR;0.002775218518281566
CBRE;PFG;0.002782143444939659
CBRE;DHI;0.002784320719533371
EPAM;MHK;0.002794910231840274
LMT;V;0.0027982168538234786
FRT;TSCO;0.0028099897122856056
AES;HII;0.002816795292576063
BAC;DG;0.0028210210636439585
ARE;BDX;0.0028226495646277478
CPT;NOW;0.0028277276700871606
EXR;VLO;0.002837425149724105
GPN;STZ;0.002845399589713066
AAPL;SBAC;0.002847778827705489
C;KKR;0.002848772192962287
C;CPT;0.0028501646742815166
KO;UDR;0.0028507694480979693
AES;SCHW;0.0028508703869575213
CMS;PKG;0.002853235076040664
