Asset_A;Asset_B;P-Value
L;ON;0.010033742688990429
ADM;DECK;0.010038203925499763
KKR;TXN;0.010039813023657832
MS;PSX;0.010040480993608802
CSX;STLD;0.010040809867426195
NCLH;STX;0.010044361603791302
CCL;ORCL;0.010047919530909596
META;WEC;0.010050248671590893
CSX;KLAC;0.010051556291517005
ALL;ANET;0.01005413222610623
AES;XOM;0.010054579866611279
EXR;TROW;0.010065817758793736
AES;NOC;0.01007679632053122
HWM;T;0.010081411136113137
AES;BA;0.010091487660919213
L;VLO;0.01009256829787011
STLD;BTC-USD;0.010098041680629093
BKR;CCI;0.0101075265494861
AVY;CNC;0.010115250331714684
CZR;EXR;0.010117310754102491
HST;NSC;0.010121935902064533
AES;CI;0.01012303373387429
AVGO;NI;0.010125325707958032
BXP;ESS;0.010135906239985983
MGM;UDR;0.010143854283724187
CVS;STLD;0.010147966326378006
CSX;ED;0.010165114561070937
BLK;EMN;0.0101677342948837
AVGO;MCD;0.010169435571531167
AJG;AWK;0.010176183334883356
EXR;BTC-USD;0.010178686522434048
EXR;FSLR;0.010180644809366566
HWM;IP;0.010182585130962754
DHR;EXR;0.010184569798076025
RCL;STE;0.010184695442711791
RCL;TDG;0.01018557666264665
DTE;RCL;0.010197420749290444
IQV;WEC;0.010198688102738048
AES;BMY;0.010204000281941013
HWM;SBUX;0.01020570740826705
ECL;IT;0.010213022763457992
CRL;LYV;0.010213778183353592
CPT;GPN;0.01021576765746922
ETN;PNW;0.01022210567051921
EPAM;TRV;0.010223276941709509
IQV;TTWO;0.010240916755435984
GE;TROW;0.010253231766033391
EXR;UNH;0.010256674317173123
L;VRSN;0.010264507209416237
HUM;PNW;0.010271584670200418
ADP;MS;0.010278033204146232
HWM;ULTA;0.010278356543285157
LNT;SNPS;0.010279633900164852
AME;KKR;0.010281009328682549
ADM;KMI;0.010284714794863998
L;SNPS;0.01029076050360848
AES;DELL;0.010294344137478529
CMS;JNJ;0.010296926614570778
EMN;MSFT;0.010316971074822398
ROK;TAP;0.01032289940775036
MSCI;PSX;0.010330857564399673
AJG;MSCI;0.010334010939575717
CVS;GE;0.010336980260729954
HWM;STE;0.010343440394803047
CVS;PH;0.010347110205699195
ATO;META;0.010351786600406896
BDX;UNH;0.010352138334421744
AES;TER;0.01035650346484833
CVS;TSN;0.010362335540334867
ADP;LHX;0.010364230866661701
AES;LII;0.01036740202508033
MPC;PH;0.010384457363887779
ED;TECH;0.010385748872900573
L;PYPL;0.010388169310782671
AVY;NOC;0.01038994910278835
CRM;MMM;0.010393570820022275
AFL;LMT;0.010395713350461949
HWM;SJM;0.010402619693008314
AES;C;0.01041592908455516
AES;MMM;0.010416659893378104
PTC;TRV;0.01043124733175447
CSX;STE;0.010431453556448969
ALLE;ZBRA;0.010435504305002868
CTAS;DOV;0.01044001607444732
AES;EMR;0.010440683424953377
NI;ZBRA;0.01044941441100255
AES;SHW;0.010456422883020369
CPRT;HST;0.010459877080339998
BKNG;SPG;0.010461987320100861
GLW;GOOG;0.010479300487422521
PKG;STE;0.01048887880342974
AES;APH;0.010503117535749767
AES;USB;0.010508033290703286
PAYC;GBPUSD=X;0.010535891421197445
ADSK;AON;0.010536074817995726
CBRE;BTC-USD;0.010540141480627293
MSFT;UNH;0.010542288582093723
AXP;HST;0.010542658922532429
AAPL;D;0.010545895492350934
FIS;TECH;0.010549823857803085
SBUX;AUDUSD=X;0.010551265242098202
HWM;EURUSD=X;0.010555101808456667
MNST;PYPL;0.010556634270073483
APO;DXCM;0.010560858749204701
DLR;IBM;0.010562594297758526
EQIX;GPN;0.010566296974156678
EQIX;ZBRA;0.010570220980417797
CVS;EPAM;0.010576802271716612
MA;UNH;0.010582492831673448
CI;MSCI;0.01058277068942995
CCL;NI;0.0105847273214979
CSX;PLD;0.010587701256098762
BAX;CTSH;0.010598212360334248
OXY;PCG;0.01059977646109958
AMZN;EXR;0.010603243820327827
D;LW;0.010604372935215819
KKR;TDY;0.010621555830071848
AAPL;WEC;0.01062588998571983
KO;META;0.010629618842538864
DVN;REGN;0.010637021674665919
CSX;SBAC;0.010637537996535619
CSX;JPM;0.010644533549992587
AFL;GDDY;0.010678044251207646
KKR;ROP;0.010698296207721492
CVS;HUBB;0.010703387944121708
CL;IDXX;0.010709471973465355
CVS;PPG;0.010713521962699242
CI;L;0.010713877692157482
CDW;JNJ;0.010719940816578013
L;V;0.010721455009487284
DUK;RVTY;0.010729488387360969
CDW;LNT;0.010733273703858673
EXR;SHW;0.010736646914899872
AES;ALL;0.010742252454030458
HWM;XYL;0.01074553759484463
AES;PYPL;0.010749342584078971
AES;HPQ;0.010753298450041443
APA;PNW;0.010754476765880145
CI;DXCM;0.010777525999451124
BKR;MSFT;0.010779533675748635
ESS;IBM;0.010786103483776418
AES;ELV;0.010788562172257866
EMN;TECH;0.010788692321056155
AMZN;L;0.01079234165731616
PSA;SI=F;0.01080087096250081
IP;TAP;0.010803559436460315
DLR;UHS;0.010807728725269344
EQIX;TRMB;0.01084570273364384
BLK;EL;0.01085099414086324
BG;INVH;0.010852537885545696
IR;TXN;0.01085809657117118
C;NOW;0.010867337885432682
AES;V;0.010868045179013092
DLR;GD;0.010879565062413898
EMN;STZ;0.010884804169998503
AES;MSCI;0.010887299226544146
BMY;EXC;0.010888437021229977
APH;NOC;0.01089796332412125
DECK;JKHY;0.01089970127694205
SCHW;STLD;0.010912752316206297
AVGO;RCL;0.010928500423285716
FICO;TRV;0.01093352311844373
BAC;CPRT;0.01093422314931671
NFLX;GBPUSD=X;0.010939350759470568
AMD;COST;0.010941490056154335
CE;TROW;0.010943176410922253
EMR;URI;0.010949318542282455
AES;UNP;0.010969082068821722
INVH;PGR;0.010972343196808614
AES;WMT;0.010973062453260444
AES;ETR;0.011004408855487235
GPN;IEX;0.011005509037342707
MHK;WMT;0.01100961573443928
HWM;MNST;0.011017650078232072
PAYC;RCL;0.011019088565352731
HWM;KMX;0.01102059191182353
ANET;HON;0.01104406023346043
AEP;AVGO;0.011048585954142312
AES;MA;0.01105248162105691
MCHP;RCL;0.011057761330260709
KMI;SBAC;0.011059345889242069
MSCI;TROW;0.011064692962642807
CSX;DTE;0.011064940649916257
EXR;MAR;0.011066898257672694
HST;LIN;0.011077557205053148
INVH;LW;0.01108440560738244
AES;AMZN;0.011094657389738409
BKR;TDG;0.011095479830684573
APD;LKQ;0.01110463118239649
AMZN;DECK;0.011111471270912936
BX;DXCM;0.01112490716955746
MNST;MSFT;0.011125406824292713
EMN;MSCI;0.011128606834231914
CBRE;CTAS;0.011134493518844133
BMY;SNPS;0.011137660550210256
AES;ANET;0.011150729810492959
EBAY;PAYC;0.01116777142918834
NFLX;TAP;0.011173899857413619
AEP;STZ;0.01117544474175367
FTNT;STLD;0.01117550760301343
AES;PGR;0.011182732594644952
APTV;IEX;0.011183300819565605
HWM;TROW;0.011188068145028885
NEE;TRMB;0.011197010664256105
ADBE;CDW;0.011206934451577114
PSA;TRGP;0.011207753649699826
CBOE;MNST;0.011208950822273632
CSX;HD;0.011210179234295499
BKR;GPN;0.011215065721382976
HWM;YUM;0.011229658675358228
HWM;TDG;0.011236894507825458
HWM;UDR;0.011240935996968548
AES;IFF;0.011249511713652098
SW;XYL;0.011256083243859094
ADP;LDOS;0.011256291957902004
AES;CDNS;0.011258623508746846
KKR;VRSN;0.01125969266792659
KO;TMO;0.011264122817312669
DTE;KMI;0.011264180039493319
INTU;MNST;0.011269734329474219
CSX;MSFT;0.011274978008955761
CPB;PLD;0.01127508292321166
CI;PSX;0.011277805837269604
ALGN;BKR;0.011284464724630483
HUM;TRMB;0.011287604369078712
CSX;FITB;0.011289530841261967
CSX;HON;0.011307292630600995
LKQ;ODFL;0.011307708547174227
HWM;STT;0.0113211545918672
CSX;KHC;0.011322633167671415
UPS;XYL;0.011322901823460753
AES;MTB;0.011325008472164732
CTAS;ROK;0.011326580140220867
EXR;HON;0.011339244137416661
AES;IQV;0.011348761490660135
APA;RCL;0.011354643589623513
CVS;RF;0.011356662199723457
AIZ;O;0.011362413163164178
FIS;STT;0.01136469645420529
HWM;PYPL;0.011368777956883139
AJG;ROK;0.011370004694454067
CCI;CMS;0.011394481237095615
AES;PPG;0.011407276291406818
CNC;TTWO;0.011409980024550523
CSX;CTAS;0.011412807831614063
CSX;CVX;0.011420000524544003
CSX;PFG;0.011421658592192062
HWM;LKQ;0.011426190343243315
CBRE;MPC;0.011432254023310903
CL;MKC;0.011438216537308036
EXR;PPG;0.011446549588915849
AES;GLW;0.01144742284804809
NOW;XYL;0.01144958511806133
CPT;NVDA;0.011461909090312642
CBRE;HST;0.011467775328336233
PAYC;WTW;0.011468288298620883
INVH;TFX;0.011473514566559153
CNC;GBPUSD=X;0.011474111999306194
ACN;LDOS;0.01149599992433644
APD;CAT;0.01150376635870293
ATO;BKR;0.011507848463399646
HWM;NRG;0.011507944012993574
HCA;KDP;0.01151522804123948
AES;LH;0.011518192193498358
INCY;LKQ;0.011519159018061324
ADBE;SWK;0.011525287574047353
CSX;MCK;0.011525973980900309
AVGO;TECH;0.011529731046514115
APH;LDOS;0.011529814976714608
HWM;IQV;0.011530316062005289
GD;TMO;0.011542649346545041
CMS;VRTX;0.011543949856441173
GLW;GOOGL;0.011544552955931061
AES;UPS;0.011545612686514602
KO;MCD;0.011553106496672072
CRM;LIN;0.011558508793452466
CSX;WM;0.01156117814141906
HWM;ZTS;0.011576457708084383
D;WMT;0.011585629080700837
INVH;WBD;0.01158836687321841
CSX;J;0.011590926603389104
AES;WEC;0.011618995191990404
EMN;PGR;0.011621986930286026
CSX;WYNN;0.011629159711562982
KKR;WM;0.011654593861283875
AES;CDW;0.011654674579653053
BAC;NTAP;0.011654745997926937
CPT;PLD;0.011656459293210368
CVS;NWSA;0.011656862217695891
NSC;TROW;0.011667411003438788
ABBV;HST;0.01168876872977916
ADBE;BKR;0.011710784005237116
BX;KO;0.011712115347538883
CVS;DLTR;0.011712623472831205
LNT;MPWR;0.011713428153655229
AES;AFL;0.01171824359827445
AES;HON;0.011719012443987863
CSX;MTCH;0.011731994904455244
CI;IEX;0.011732244939610791
HWM;UAL;0.011736514719982332
AES;NSC;0.011741766123483642
APA;NCLH;0.011769198872678532
MA;TTWO;0.011770024851417763
KO;TRMB;0.011773063220616435
MOS;TSLA;0.011775095399712833
HUM;LMT;0.011777680022402877
AES;DE;0.011780482892698889
BDX;UPS;0.011784893932877375
CNP;MCHP;0.011785023270915549
MCO;MNST;0.011786096763237077
HWM;KEYS;0.011789881001260017
CNC;LDOS;0.011798907793726596
AES;NTRS;0.011805299681696985
NCLH;TRGP;0.011812800935659963
HWM;WBD;0.01181365905935036
AMZN;PFG;0.011814607302399348
HWM;REG;0.011819770743768965
HWM;TPL;0.011822397138898115
AMP;PSX;0.01183072831630064
FTNT;LII;0.011867046613694763
HWM;TAP;0.011867184817419999
CNC;NOW;0.011869919212854718
ECL;JNJ;0.011871419142113005
CRM;MSCI;0.011874913542327373
CRM;FICO;0.011878320270972834
AES;ALB;0.011885422992208983
APD;IR;0.01188732511425312
FIS;TDG;0.011888952965640479
CRM;MHK;0.011889618223753442
ADP;NOC;0.011891551142892264
CSX;TRGP;0.011916816225848588
AES;ICE;0.01194614727633883
AMZN;TRV;0.01195549134758058
CBRE;PEG;0.011960907739733573
HWM;ICE;0.0119786385799224
NOW;TRMB;0.012004950932859726
CB;PAYC;0.012016989070535397
ADBE;NOC;0.012017369206263472
APTV;TTWO;0.012027778080002794
CDW;MU;0.012029207363643853
AME;EXR;0.012034287834517493
PSA;VTR;0.012039001436351551
ADM;ELV;0.01203967321693428
AES;LDOS;0.012044131009682801
CSX;SCHW;0.012045166892778583
BG;IR;0.012047200841423364
AVGO;DXCM;0.012047709048855024
L;MTCH;0.012047911771110403
HWM;WTW;0.012050085885553492
INCY;TXT;0.012052162055150407
AFL;BA;0.01205637835348222
IEX;PLD;0.012061237775885187
ABT;BMY;0.0120633696927648
BDX;CMI;0.012065299494566306
AES;MAR;0.012067755339244368
DOV;MTCH;0.012071668644294256
IP;NVDA;0.012084697763938966
AEP;AOS;0.012088816539492692
CSX;PYPL;0.01209347553123015
O;PWR;0.012100923838096259
HWM;IEX;0.012101966767052651
ALL;MPC;0.012103952203480841
KKR;NTRS;0.01211115693563257
ADSK;UDR;0.012112169839656423
CVS;PCG;0.012117376757657271
DOV;KKR;0.012117590382978332
AES;FTV;0.01212337183958344
ATO;RVTY;0.012144827898509916
CNC;EXR;0.012154358862417457
AES;HD;0.012159022400512141
IP;PKG;0.012165251747264455
AMGN;FE;0.012165467469387783
HWM;PODD;0.012172309646620279
LVS;WYNN;0.012175572887941374
EMR;INTC;0.01217678947172363
INTU;IR;0.01218476995865278
ICE;SPGI;0.012203124339638285
CBRE;L;0.012204117346285705
APA;KO;0.012204313468209358
HWM;WEC;0.012210812691046725
CTSH;TMO;0.012230978355006994
CDNS;WEC;0.01223653971855119
DLR;EA;0.012248236281626818
GPN;EURUSD=X;0.012262028341435785
MSI;UNH;0.012265016664639333
ROK;TROW;0.012267371959984381
EMN;KKR;0.01228604795182922
ADM;NTRS;0.01229910273645458
LNT;LRCX;0.012307591333084582
AES;WBD;0.01230941521595224
L;SHW;0.012310867243722335
L;TFX;0.012315363009531712
PKG;TMO;0.012316102921667236
ADBE;ROP;0.012317619567743692
KEYS;OMC;0.012321549231367412
CSX;ZBRA;0.012333568522564597
AMZN;NWSA;0.01233583586093743
HWM;TJX;0.012336402717483281
CVS;MET;0.012336792971407762
CSX;GNRC;0.012342055934273143
AVGO;JNJ;0.012350949229203172
CPRT;IR;0.012353404784829514
WY;BTC-USD;0.012362891685188945
AME;MNST;0.012364504775089234
HWM;KR;0.01237370105558718
CVS;VLO;0.012379181113541452
DD;PFE;0.012401121469808053
EMN;RMD;0.012401901961977742
AES;FDX;0.012402061423996124
CNC;CTAS;0.012402074405276086
ADM;MSI;0.012407533754799254
HWM;KMI;0.012417159093519486
COP;ENPH;0.01241875979031821
DUK;PAYC;0.012439251134014541
HON;STZ;0.01243973947349839
WDAY;GBPUSD=X;0.012442119700339769
HWM;VTR;0.012446701092368857
BKR;CB;0.012449412662684203
AMZN;LVS;0.012463471306466694
ES;WAT;0.012466128221238302
CI;INTU;0.012467305349773047
KKR;ZTS;0.012472977630464052
CSX;SW;0.012474018211294449
L;MNST;0.012481470192346557
AVGO;BAX;0.012482295008655619
CNP;UHS;0.012482856097902098
GLW;SHW;0.012486869329958817
L;ROK;0.01251021476878876
MHK;MSFT;0.01251226294349857
ALGN;MSCI;0.012517995845519544
DECK;EPAM;0.012533526182818248
HUM;NFLX;0.012534369201186862
ACN;GE;0.012534556567475935
HWM;ODFL;0.012545004154568804
CPB;EBAY;0.012545553709368187
HWM;NDAQ;0.012552044827280572
ADSK;NI;0.012569063044888862
CSX;GRMN;0.012573693755098233
HWM;PSA;0.012578833208950164
GPN;TMO;0.012582226517316747
HWM;KO;0.012582912648470324
EQT;HSY;0.012619546345280114
DXCM;TRMB;0.012622770223115492
MSCI;WEC;0.01263091755947138
BKR;TRV;0.012633492998099398
CSX;RJF;0.012635151009900727
DD;KKR;0.012643314838712748
ADM;LIN;0.012646737511837992
CFG;PCG;0.012667611212955097
CSX;PAYX;0.01266935016202988
ADM;TDG;0.012673736369465453
HWM;ROST;0.012678108345012432
ADBE;DXCM;0.012682207006644533
HWM;MPWR;0.012689514904542901
HWM;TSN;0.012696123738018391
ADM;ARE;0.012699172566761115
AAPL;SPGI;0.012716920934989474
PSA;STX;0.012717622820982415
BAX;ZBRA;0.012719394610942543
APA;DTE;0.012720733594786298
ADI;DD;0.012723021163064875
ISRG;WEC;0.012727828252229173
HWM;MET;0.012730633717777683
GOOGL;LIN;0.01273371730087281
AES;BF-B;0.012756697682007523
DLR;TRMB;0.012757105061769344
AFL;NVR;0.012761381858961742
HWM;NUE;0.012762489795078175
AES;EXPE;0.012764666904128518
KO;STE;0.012776525099577107
AOS;CNC;0.012777643630758263
HWM;MA;0.012779292752262994
BWA;NOC;0.012788059742307518
EMN;PYPL;0.012793022332147966
HWM;LYV;0.01282702165497948
CSX;DLTR;0.012828625128620662
INVH;TECH;0.012829336029919905
HWM;TECH;0.01282991915216823
HWM;UNH;0.012844079046578609
ENPH;FDS;0.012855796817911123
HWM;WMB;0.012862046672274372
AFL;MHK;0.012863372157476774
APTV;ROL;0.012867122262628662
JNJ;PAYC;0.012870053087716514
CVS;ELV;0.012870915250138334
CSX;SPGI;0.012871574219479069
EBAY;TMO;0.012891538229444504
DD;EXR;0.012895386682723296
SW;ZTS;0.012897620467180999
AMD;PCG;0.012899181132409777
ODFL;PSX;0.012909478429232065
A;CPB;0.012916606265115201
AME;IEX;0.012921083324617227
AES;ARE;0.012922094963728639
CSX;MS;0.012928593675994691
FICO;TECH;0.012933825779873185
DUK;ZBRA;0.012936735091867928
DTE;WAT;0.01294002628056442
CVS;NWS;0.012942664162694168
CBRE;FICO;0.012943702273860842
DE;EXR;0.012951299698777195
AVGO;STZ;0.01295251196710857
EQT;HCA;0.012955133596001662
HWM;TTWO;0.012967524006115198
CSX;PAYC;0.012968079703767878
AFL;BKR;0.012981357702508104
DXCM;PTC;0.012986862080459948
CSX;MET;0.012989498951248105
AES;SYK;0.012998050880808985
AES;INCY;0.01299844755651049
ARE;EPAM;0.013005743065245056
SWKS;WTW;0.0130207869275452
DUK;LVS;0.013031658778044828
HWM;MSFT;0.013032563512441222
AES;WRB;0.013037112461085982
AWK;NVR;0.01304508408894452
ADP;WM;0.013051924911784297
HWM;SNA;0.013052331441703896
LNT;RCL;0.013064600024608358
HWM;STZ;0.013064884476028474
HWM;MOS;0.013079124349605164
GPN;YUM;0.013080666407093015
XOM;XYL;0.01308382127909225
AES;OKE;0.013084681577255943
CFG;HUBB;0.013097448047941508
EXPE;FAST;0.013097991283795586
AES;FCX;0.013099064114703875
KKR;ODFL;0.013099791981045456
HWM;VRSN;0.013109399987166353
META;TDG;0.013111857003279884
BKR;PLD;0.01311363265542116
AES;KKR;0.013118857855671262
ANET;CRM;0.013120017659225111
GPN;XYL;0.013120213406490954
AXP;EMN;0.013132745627680466
HWM;LIN;0.01315275265227926
INCY;TXN;0.013156449975366474
HWM;LVS;0.013157564533883809
AES;LIN;0.013159379006756526
BMY;TFX;0.013170273597872368
CVS;MPC;0.01317097901264252
AES;GDDY;0.013178990407713299
EBAY;IVZ;0.013187632691730553
JKHY;TRV;0.01320796256631326
DG;PNC;0.013218694631924642
EQR;HAL;0.013227032104612707
BDX;EMN;0.01323540836356983
AES;HIG;0.013249561711659596
AVGO;UDR;0.0132609105223777
NOW;TAP;0.013276304754192872
RVTY;SYK;0.013282241977078921
AES;TTWO;0.013285930111327898
TRMB;GBPUSD=X;0.01329044423410878
UNH;V;0.013298789434252655
AES;JKHY;0.01330160768760173
CSX;ISRG;0.01331442916963971
BKR;LNT;0.013322867573098645
ADM;TRV;0.013323456745031149
AOS;KMI;0.013327212916239542
AWK;LW;0.013327430594945797
KKR;MCO;0.013329673002105412
EBAY;SW;0.013330073018730125
AES;MLM;0.013343585834951353
AKAM;GWW;0.013343754773562097
KO;NI;0.013348178277751383
MNST;TECH;0.013352638199561548
HWM;JKHY;0.013364587544672535
APTV;BMY;0.01336703621444599
HWM;VRSK;0.01338244286966898
MPWR;ROK;0.013385874481106428
ARE;WMT;0.013386261641180263
CSX;ES;0.013405177837649052
ETR;FTV;0.013405536854344941
FIS;META;0.013407714721455204
MHK;RMD;0.01340927473676431
CSX;VRSK;0.013410732122805554
AES;MDLZ;0.013412467527505726
FTV;LNT;0.013427539019775087
ACN;KKR;0.013432590550206755
ADBE;EXR;0.013444982004908216
HWM;RVTY;0.013447489840499975
APO;CNC;0.013448326184677
CSX;RF;0.013449129610297088
ADP;TDY;0.013467359803112719
RMD;TRV;0.013467817321565115
APO;HUM;0.013474979481976347
ADM;AIZ;0.013482807132668705
HST;UNP;0.013491320633981728
ALB;CPB;0.013494726786141234
AVY;CAT;0.013498499675502321
ACN;L;0.013504334492681293
MA;NOC;0.013505522822823334
CSX;NEE;0.013511674994161968
PAYC;ROL;0.013512093697793683
AES;LMT;0.013512664779374363
AFL;NFLX;0.0135206296790642
HWM;TFC;0.01352219980492316
AES;NFLX;0.013538288418700759
HWM;NVR;0.013546283022489865
GRMN;TPL;0.013549481463403956
LYV;XYL;0.013564077287468022
BKR;YUM;0.013572730904267584
AMGN;NRG;0.013578761166150569
LEN;WMT;0.013583275328746716
HUM;IR;0.013584980738908485
AES;ROP;0.013587951036034567
HWM;MTCH;0.013587954231500861
HWM;TRV;0.013590050346455582
GM;MET;0.013595850450478342
DG;NSC;0.013599031806761577
ISRG;TECH;0.0136123786063843
ATO;KMI;0.013620274108055892
MCO;PSX;0.013620481991693797
HWM;ISRG;0.013634895602784646
AEE;MPWR;0.013646523609379272
EBAY;KKR;0.013651448550147905
ADP;CAT;0.01365422899553081
FTNT;WMT;0.013657845272438197
MPC;TXN;0.01367041666709571
FMC;PLD;0.01369217798370846
HWM;MO;0.013693661943602947
AAPL;ED;0.013699252715159841
CVS;MTCH;0.013710367052900988
ANET;WMT;0.013716125087211402
DLR;VRTX;0.013722958388629162
MPC;SWK;0.013723014940248182
DD;TAP;0.013723319147013613
MCO;VRSN;0.013724136472940324
ADM;MPC;0.013731592347850595
CNP;OMC;0.013734135113166523
HWM;SLB;0.01374186545543864
ADP;C;0.013748186172249363
CPT;EMN;0.0137567743267409
ARE;AXP;0.013766047550804364
BKR;NVDA;0.013771830213897333
CRM;TDG;0.013784720984371878
CSX;LNT;0.013786704324654984
CB;ECL;0.013805457377716863
EMR;MPC;0.013806923603198122
L;PSX;0.01381682170542542
AES;CNC;0.01382566184578872
BKR;EL;0.013843092776676984
BBY;MGM;0.013845561934407166
HWM;UPS;0.01384565498336505
ADP;PFE;0.013846486879053857
MNST;NOC;0.013863827905131687
AES;JNJ;0.013865970036843542
HWM;NDSN;0.01386974687482329
CVS;FICO;0.013878119169167922
HWM;MU;0.013879031504845603
HWM;MPC;0.013879347345265058
INVH;LNT;0.013879570741665707
CPAY;IR;0.013882167665332441
CNC;GDDY;0.013886946036796763
CPRT;VLO;0.013888402966324022
AES;REGN;0.013901129242128362
AES;META;0.01390751325483057
HWM;NOC;0.013911755137265431
AES;STZ;0.01391726484845514
PFE;TXN;0.01391928305305756
AMGN;BMY;0.01392099813206662
HWM;SBAC;0.01392153056944575
BIIB;ULTA;0.013927001584165736
BX;IR;0.013927994733462646
IP;SW;0.01392987192351574
AES;CMCSA;0.013930226010324863
IDXX;WMB;0.013939052651524954
CSX;EL;0.013963569967989342
AAPL;AEP;0.013963654530479645
MS;ODFL;0.013965263307207904
HWM;TXT;0.013969165925305473
HWM;STLD;0.01396918199120584
CVS;MMM;0.01398104584164888
CNC;INVH;0.013989965166798991
HWM;BTC-USD;0.013995533815633756
GOOGL;MMM;0.013996084018443173
AES;USDJPY=X;0.014003309765706531
MLM;PG;0.014009735781403385
CSX;SLB;0.014024489965011827
CSX;SWK;0.014027662071029462
KMI;LIN;0.014029512443367014
CMI;KMI;0.014036661126385906
HWM;VRTX;0.01404348479001093
BAC;TEL;0.014045514015176685
HWM;ORCL;0.014048879003020438
ISRG;LNT;0.014069225184601662
LIN;TAP;0.014082742423340447
AES;HLT;0.014089330349422854
ELV;HST;0.014090830116648662
ACGL;SNA;0.01409292966702697
ADBE;MSI;0.014096771629996311
DXCM;LYV;0.014098946018281489
HWM;MCD;0.014100230886509937
BMY;FIS;0.014113107753097048
AES;D;0.014117455694952215
SWKS;T;0.014121392349824617
AAPL;IFF;0.014121756508608965
CVS;ODFL;0.014134604918438438
KO;ROL;0.014135932448136126
SW;EURUSD=X;0.01414507626067712
PKG;WEC;0.014145493673089215
HWM;JBHT;0.014147374731126665
AES;AMAT;0.014148501751384083
HWM;LH;0.014150574770513766
EMR;HII;0.014153332569942093
CSX;MAR;0.014159545576288148
CSX;EPAM;0.014164463924014643
AWK;FICO;0.014190889650762302
FTNT;HD;0.014191251724636018
ABBV;BRO;0.014191423559594917
INVH;NDAQ;0.014193172089951914
GPN;PAYC;0.014194579692222849
DXCM;LMT;0.014197264061918877
HWM;PEG;0.014205332301420048
BWA;C;0.014205353790557698
HWM;WMT;0.014217622181630531
GPN;INTU;0.014220770981261474
ABT;HST;0.014236189020830589
AES;TAP;0.014238353261270745
FSLR;GE;0.014245749835643546
A;GPN;0.014247905229080286
HWM;TRMB;0.014253025531486064
DXCM;GD;0.01425456863367596
ADP;CNC;0.014259761094219689
APA;INVH;0.014270539506588447
AES;SBAC;0.014282823670195295
CVS;MSFT;0.014288404229099766
HWM;MMM;0.014290490712976877
PHM;PSX;0.014292101172838509
BX;COO;0.014309654833972493
DTE;TDG;0.014311430210956771
ISRG;PLD;0.014315523618289748
CSGP;MCD;0.01432395852243174
LNT;TDG;0.014325439994360112
DXCM;NVR;0.014332027269413855
HWM;TDY;0.014337419058643093
CSX;HSY;0.014343944647165935
AES;CAH;0.014345824620624014
AES;CMI;0.014358164728456906
HWM;VLO;0.014363282249784554
HWM;PGR;0.014374849343324914
AES;DXCM;0.014384141880596316
ADM;NWS;0.014394130384024631
JNJ;SW;0.01440104806863335
GS;LULU;0.014405366137833248
L;LKQ;0.014406572628403244
PSA;WMB;0.014432238962766209
DXCM;NOC;0.01445129823849023
CDW;CRM;0.01446010500235637
EQR;SLB;0.014460195059579468
ARE;TECH;0.014461150495855193
ACN;EXR;0.014464902897692275
EQR;HUM;0.014486162514663063
EMN;LHX;0.014491652327210988
GLW;LIN;0.0144950680681277
CDNS;L;0.014499619558981495
HWM;NI;0.014519707701477284
HWM;LYB;0.014529729105595114
FICO;LIN;0.014532449897939967
HWM;INTC;0.014532684944224309
RMD;TAP;0.014542899911786257
JCI;PODD;0.014547489080703349
HWM;WST;0.014549028188732388
CDW;NFLX;0.014550347874000443
BAX;WDAY;0.014551873582306769
CSX;PNC;0.014556894660427151
ES;KMI;0.014561852297691849
KO;NEE;0.014564698410307934
INVH;UPS;0.014566851669767128
APTV;CPT;0.014568311675351386
HST;INCY;0.0145684912374415
DG;L;0.014575689996286672
HWM;LRCX;0.014580935071230348
ADM;FICO;0.014581024851668956
LKQ;TROW;0.014585782042782925
AAPL;INVH;0.014596158524367693
CCI;CRM;0.014609003587203287
HWM;IVZ;0.01461281971991936
HWM;NOW;0.014613675381418282
HSIC;INVH;0.01461531631435739
CSX;FICO;0.014619755826858982
BX;IT;0.014624019623679622
EXR;PFE;0.014626748941826558
CNC;TAP;0.014627094476511802
AES;LRCX;0.014631350687962147
HWM;INTU;0.014631393740333898
HWM;NWS;0.014645190412580536
HWM;WM;0.01464974308604831
DOV;EXR;0.014659542135930913
HWM;PSX;0.014673219516724222
CSX;NXPI;0.014674505891934544
ARE;CNC;0.014675431926528155
ALL;FICO;0.014682922553332348
HWM;L;0.014684351389319011
APTV;MNST;0.014687048658783617
SW;YUM;0.014706863219279996
HWM;JPM;0.01471349830844434
INCY;SYY;0.014724037799245426
ADP;BKR;0.014728880021437723
HWM;JCI;0.014733148848685429
FRT;TRGP;0.014737683028902302
CSGP;WDAY;0.01474057527507621
SWKS;TRGP;0.01474598601340443
CMS;KMI;0.014776707889549953
T;TYL;0.014781821786226876
INVH;PNC;0.014785599336965601
ADM;FSLR;0.014786775807963053
NOW;NVDA;0.014787612341009896
CDW;NOC;0.01479747443413731
DD;LDOS;0.014805863007331844
CSX;WTW;0.014806523921302625
HWM;PKG;0.01480990171244921
HON;NVR;0.014816905168949743
CSX;TSN;0.01481794672952712
CSX;RSG;0.01483269241306949
DXCM;PH;0.014838801541614238
CE;L;0.014851657348306062
FTNT;SYY;0.014867639907782674
CRM;D;0.014871418066038446
FRT;SRE;0.014874141257795811
AES;DGX;0.014876611162245808
